age,visit_count,time_stay,clicked
28,41,1.6,38
17,48,2.1,37
16,48,5.5,33
21,36,0.1,34
29,38,3.2,36
27,44,0.4,48
18,44,5.9,30
29,41,1.6,48
14,34,3.5,48
18,46,5.5,31
18,37,6.8,45
21,42,0.8,36
25,45,1.7,41
14,35,2.4,39
24,32,5.7,33
15,44,4.5,42
19,47,1.1,47
22,40,0.6,45
28,39,5.5,45
18,49,2.6,30
27,40,5.7,41
18,40,4.2,34
18,33,3.7,39
15,37,5,41
14,48,2.2,48
23,34,5.4,45
15,47,5.9,49
26,45,4.7,40
15,39,5.5,43
19,46,6.1,34
25,40,0.4,35
27,48,4,44
18,47,2.6,35
21,40,0.6,40
14,42,2.7,34
25,41,2.6,32
25,38,6.9,40
29,40,3.9,39
18,37,6.9,34
18,39,5,46
27,31,1.9,38
14,35,6.1,30
29,45,5.7,41
26,32,2.4,40
19,37,2.9,32
17,43,5.6,45
15,39,6.4,41
16,47,4.2,34
24,39,4.8,38
14,35,3.4,41
27,44,1.7,39
26,33,6.9,41
27,33,1.8,49
20,44,1.7,37
25,44,4.4,38
15,31,4.9,38
15,32,3.9,39
19,34,1.7,36
23,30,4.5,34
17,46,2.4,31
18,33,2,33
14,38,5.2,37
14,39,6.4,44
25,49,0.1,41
16,33,2.7,44
15,30,2.3,46
19,36,4.8,31
24,34,1.5,44
27,47,0.1,39
27,33,5.1,32
14,38,4.4,45
29,39,2.4,49
21,40,6.7,45
18,42,3.5,48
24,47,1,49
26,41,1.1,32
21,42,5.5,47
17,35,2.6,40
24,48,4,33
43,12,1.2,10
28,31,4.1,5
20,27,4,27
60,5,5.9,35
30,33,6.4,7
21,38,6.9,25
30,30,1.1,21
32,14,4.7,31
56,40,2.8,40
18,29,6.7,47
43,25,4.3,42
31,13,6.7,19
44,44,2.4,28
67,13,0.7,7
61,12,1.9,38
66,30,4.5,5
53,21,6,36
34,16,2.7,26
37,43,3.9,19
57,44,4.3,10
69,36,3.6,5
53,25,1,7
68,32,5.7,40
65,13,1.3,27
27,41,1.4,20
60,18,5.9,40
25,30,0.7,15
16,3,1.8,28
38,23,2.6,5
37,10,3.1,13
61,49,3.5,41
37,6,1.4,15
58,29,3.9,23
15,12,2.5,8
67,24,0.7,39
53,21,6.2,25
50,19,6,32
37,43,5.5,27
35,25,0.7,22
57,33,5.5,37
19,24,1.1,43
14,8,6.8,31
47,35,1.4,48
38,17,3.7,24
21,42,1.6,8
42,13,6.2,44
69,45,0.8,10
27,33,2.8,28
45,28,6.1,30
62,8,4.1,25
26,20,3.6,23
25,43,3.6,45
27,25,5.7,48
51,11,3.6,34
62,19,0.3,43
38,35,6.8,17
21,19,0.4,10
25,47,3.3,23
44,10,2.9,17
16,23,3.5,9
65,5,5.8,21
34,3,6.7,20
44,49,5.2,5
62,31,0.3,9
35,18,0.8,20
38,40,2.3,20
43,6,1.2,41
43,16,6.2,17
34,12,1.4,45
25,24,2.7,32
36,47,5.8,18
23,8,5.4,42
52,29,0,32
16,38,4.6,46
54,29,3.2,15
59,14,5.3,12
16,25,5.4,21
29,9,1.6,12
54,23,2.2,45
59,35,5.4,9
48,29,1.3,22
61,30,4.8,14
34,14,4.8,7
49,23,6.7,46
68,47,6.6,26
33,33,0.1,34
60,36,1.8,43
34,15,0.2,42
21,11,4.1,48
42,26,4,41
51,26,2.3,32
36,44,6,40
51,14,4.2,20
39,47,4.3,30
36,4,3.1,48
59,21,5.2,48
52,47,6.7,35
48,26,0.6,16
33,37,2.3,12
44,48,6.4,43
27,44,6.6,31
18,21,1.8,48
19,41,3.1,43
28,28,4,21
19,22,0.3,49
20,37,1.7,17
14,47,2.6,27
67,42,1.2,24
51,41,3.2,35
46,8,3,41
62,27,1.2,36
35,12,1.4,35
21,19,3.7,43
37,1,4.1,47
29,21,4.7,42
28,13,0.1,48
65,11,6.7,42
20,8,6.5,47
24,14,5.9,21
50,43,1.6,15
16,39,0.5,43
62,6,1.9,30
61,23,2.1,14
63,14,2.7,27
23,10,1.9,42
47,41,3.6,36
22,29,0.3,19
61,21,5.5,44
17,21,1.8,22
19,16,5.9,32
35,32,5.2,32
63,48,5.1,9
33,12,5.8,9
28,40,3.7,42
38,8,3,34
63,32,3.3,8
37,42,3.5,24
16,39,2.1,43
29,33,3.1,35
26,11,1.6,48
37,8,5.7,24
47,18,5.9,16
18,31,0.8,35
30,29,3.6,45
61,48,1.5,45
15,22,5.7,18
44,20,7,17
69,49,5.7,9
21,36,2.1,25
40,21,5.7,35
54,29,5.5,19
14,2,5.7,7
65,40,4.5,44
43,15,6.9,25
36,7,6.3,9
66,6,5.5,25
28,5,1.4,17
59,41,1.2,43
61,23,0.3,22
27,38,3.9,10
30,48,5.2,33
45,19,2.8,9
15,8,2.9,49
22,16,6.4,40
59,39,4.4,8
35,18,2.9,40
27,10,4.9,28
27,18,3.3,36
58,40,0.5,11
53,41,5.7,19
31,35,6.1,14
51,42,5.6,32
52,6,0.5,33
49,38,2.8,25
43,49,2.2,42
42,6,0.3,20
36,13,0.5,26
61,42,4.5,13
40,37,2.4,39
22,14,2.3,10
65,2,1.1,44
62,6,1.4,49
14,4,3.9,40
58,38,6,17
24,20,6.7,43
20,23,1.5,17
25,30,4.8,35
56,2,6.5,31
40,21,6.1,30
43,38,5.7,19
37,41,5.8,23
32,11,5.4,44
59,47,6.8,30
36,48,5.7,31
29,24,6.9,26
62,18,7,17
44,45,0.5,11
42,37,4.9,27
25,33,1.5,41
47,24,5.5,31
